Date,Open,High,Low,Close,Volume,Adj. Close
14-07-2017,2342,2361.26,2251.04,2259,7710.587706,2259
15-07-2017,2259,2266,1978,2023.26,21699.94444,2023.26
16-07-2017,2023.26,2105,1830,1908.61,24307.89055,1908.61
17-07-2017,1901.52,2099,1850.93,2046.03,21753.28189,2046.03
18-07-2017,2046.01,2374.78,2046.01,2351.69,29439.49166,2351.69
19-07-2017,2351.69,2402.5,2232.5,2315.9,18339.29762,2315.9
20-07-2017,2315.9,2665.99,2223,2619.17,23161.43379,2619.17
21-07-2017,2619.17,2938,2560,2717.97,29232.42568,2717.97
22-07-2017,2715.27,2882,2611.39,2787.9,15183.12049,2787.9
23-07-2017,2787.81,2855,2640,2779.7,12048.20892,2779.7
24-07-2017,2776.43,2800,2701,2762.99,8816.099997,2762.99
25-07-2017,2762,2778,2511,2580.21,17327.30678,2580.21
26-07-2017,2580.21,2608.96,2400,2436.7,20641.02161,2436.7
27-07-2017,2436.93,2600,2407,2541.06,12203.06636,2541.06
28-07-2017,2541.06,2825,2526.11,2742.9,14076.46367,2742.9
29-07-2017,2742.89,2800,2657.39,2707.06,10809.56264,2707.06
30-07-2017,2707.02,2746.79,2569.69,2720.25,11457.65777,2720.25
31-07-2017,2720.24,2792.23,2680.01,2761.41,8903.321905,2761.41
1/8/2017,2763.23,2929.17,2615,2676,12566.829,2676
2/8/2017,2676,2779.53,2652.92,2698.05,10811.81967,2698.05
3/8/2017,2698.08,2770,2650,2768,7362.894666,2768
4/8/2017,2768,2875.8,2737.87,2868.15,8456.625272,2868.15
5/8/2017,2868.16,3230,2825,3192.37,13878.96071,3192.37
6/8/2017,3204.5,3339.66,3146.1,3241.5,10013.29176,3241.5
7/8/2017,3241.02,3430,3186,3380,9526.76871,3380
8/8/2017,3387.32,3490,3325,3380,16095.54039,3380
9/8/2017,3383.43,3463.31,3178.72,3285.05,13921.31085,3285.05
10/8/2017,3284,3447,3269.9,3441,11189.86235,3441
11/8/2017,3446.65,3550,3385,3535.09,10722.84937,3535.09
12/8/2017,3543,3866,3511,3845.97,10215.82579,3845.97
13-08-2017,3845.97,4190,3725.37,4033,18990.82281,4033
14-08-2017,4023.72,4299,3935,4242.67,11478.95056,4242.67
15-08-2017,4246.06,4400,3800,3985.34,24204.1117,3985.34
16-08-2017,3985.34,4321.69,3926.06,4308.63,14577.86559,4308.63
17-08-2017,4308.63,4480,4208.88,4350,12999.33696,4350
18-08-2017,4349.99,4368,4167.21,4224,14926.5611,4224
19-08-2017,4224,4269.3,3900,3946,20840.31044,3946
20-08-2017,3948,4130,3925.7,4040.11,7562.97917,4040.11
21-08-2017,4040.11,4125.95,3949.78,4004.99,8469.455206,4004.99
22-08-2017,4004.99,4042.05,3600,3905.24,20100.10982,3905.24
23-08-2017,3905.02,4248.97,3905,4209.97,15466.449,4209.97
24-08-2017,4209.95,4246.41,4062.26,4230.84,12991.16433,4230.84
25-08-2017,4220.25,4445.09,4185.67,4419.98,9795.039245,4419.98
26-08-2017,4421.95,4449.98,4232.43,4299.96,9153.055598,4299.96
27-08-2017,4295.11,4393.3,4269.28,4337.19,4561.237157,4337.19
28-08-2017,4352.13,4365.96,4169.01,4293.33,6710.157768,4293.33
29-08-2017,4293.33,4649.78,4287.28,4576.26,11405.26755,4576.26
30-08-2017,4576.26,4642.22,4479,4561,10231.41514,4561
31-08-2017,4567.21,4739.78,4532.58,4718.46,7734.854547,4718.46
1/9/2017,4719,4870,4671.09,4836.86,12841.40885,4836.86
2/9/2017,4836.85,4979.9,4488.5,4591.55,18216.00663,4591.55
3/9/2017,4591.55,4700,4385,4450.6,11902.44678,4450.6
4/9/2017,4463.2,4624.72,4200,4247.55,19093.81143,4247.55
5/9/2017,4247.54,4410.97,4001.93,4246.85,24840.05141,4246.85
6/9/2017,4258.97,4628.39,4215.12,4615.09,18493.40167,4615.09
7/9/2017,4617,4674.34,4475,4641.06,10065.7012,4641.06
8/9/2017,4647.85,4679.97,4227.64,4389.49,16467.36775,4389.49
9/9/2017,4374.97,4449.99,4125.99,4285,16726.89927,4285
10/9/2017,4285,4334.38,4010,4128.78,14810.30707,4128.78
11/9/2017,4138.55,4353.49,4092.4,4240,12138.57665,4240
12/9/2017,4240,4377.65,4170.99,4237.56,9757.039193,4237.56
13-09-2017,4237.84,4265.28,3720.01,3819.51,28244.72803,3819.51
14-09-2017,3819.51,3960,3426.92,3520,32174.56426,3520
15-09-2017,3519.7,3712.92,2972.01,3701.3,61643.69273,3701.3
16-09-2017,3701.3,3872.9,3456.13,3550,33255.21493,3550
17-09-2017,3538.6,3727,3463,3664.68,13435.62649,3664.68
18-09-2017,3664.68,4100,3646.39,4039.07,16631.94838,4039.07
19-09-2017,4039.06,4122.7,3848.35,3998,14932.12708,3998
20-09-2017,3998.51,4050,3820.56,4000,12460.08394,4000
21-09-2017,3999.98,4026,3698.19,3755,12869.29202,3755
22-09-2017,3755,3761.84,3514,3539.73,19264.51863,3539.73
23-09-2017,3531.29,3810.25,3524.15,3724,11423.07372,3724
24-09-2017,3718,3783.25,3615,3703.89,7880.310425,3703.89
25-09-2017,3698.11,3949,3630,3930,12133.82969,3930
26-09-2017,3930.01,3970,3850.61,3925.04,12156.45138,3925.04
27-09-2017,3921.22,4100,3870,4070.68,11853.92007,4070.68
28-09-2017,4070.69,4270.01,4070.64,4141.08,12462.18504,4141.08
29-09-2017,4140,4224.89,4022.02,4184.18,12003.5068,4184.18
30-09-2017,4184.18,4335.22,4132.01,4329.96,8016.700394,4329.96
1/10/2017,4322.24,4349,4216,4270.01,7750.820094,4270.01
2/10/2017,4270,4453,4257.49,4380.46,7423.809908,4380.46
3/10/2017,4380.46,4425,4218,4293,11975.7962,4293
4/10/2017,4293.96,4343,4170.07,4212.04,9623.280133,4212.04
5/10/2017,4217.84,4334.38,4137.96,4314.24,7741.089678,4314.24
6/10/2017,4316.99,4425,4278.4,4376.72,8093.683502,4376.72
7/10/2017,4371.61,4393.05,4298.01,4332.24,5142.720485,4332.24
8/10/2017,4342.1,4570.89,4317.66,4568.46,9025.683018,4568.46
9/10/2017,4568.45,4670,4525.92,4634,9624.829832,4634
10/10/2017,4634,4865,4620,4789,13289.32279,4789
11/10/2017,4787.05,4909.97,4700,4832.03,11947.94409,4832.03
12/10/2017,4836.85,5311.18,4789.04,5311.12,17608.43653,5311.12
13-10-2017,5311.18,5846.43,5222,5721,27790.0075,5721
14-10-2017,5720,5767.14,5479.48,5690.96,11210.20923,5690.96
15-10-2017,5702.39,5830,5415,5520.14,10983.30439,5520.14
16-10-2017,5534.16,5747.97,5452.95,5699.95,8500.407635,5699.95
17-10-2017,5699.92,5807.11,5506.78,5584.96,10607.05591,5584.96
18-10-2017,5584,5639.9,5101.36,5324.07,15770.2116,5324.07
